Time;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday
00:00;0;0;0;0;1;6;9
01:00;0;0;0;0;0;0;2
02:00;0;0;0;0;0;0;0
03:00;0;0;0;0;0;0;0
04:00;0;0;0;0;0;0;0
05:00;0;0;0;0;0;0;0
06:00;11;11;11;10;6;0;0
07:00;39;35;34;37;22;1;0
08:00;44;51;49;41;36;6;1
09:00;43;48;48;45;30;14;6
10:00;37;41;40;39;33;21;12
11:00;33;37;37;36;36;27;14
12:00;33;36;37;37;43;30;17
13:00;32;36;37;37;45;33;19
14:00;36;40;41;43;50;33;21
15:00;44;50;51;53;49;32;21
16:00;52;61;62;65;46;31;22
17:00;51;61;63;62;39;33;23
18:00;45;55;54;54;34;33;25
19:00;28;28;37;38;30;32;22
20:00;16;18;20;21;22;22;17
21:00;10;11;11;13;16;16;12
22:00;7;8;8;10;13;14;8
23:00;3;4;4;6;10;12;4
